i,j
674,528
270,624
798,608
332,704
798,826
28,662
20,788
674,203
275,276
316,608
108,246
174,528
882,566
678,56
28,348
108,800
20,12
583,344
174,480
626,566
308,124
262,32
108,616
270,528
174,124
796,231
662,28
585,410
626,276
20,842
316,124
270,764
426,344
426,528
270,288
584,344
296,566
16,554
580,583
16,231
174,300
174,616
20,528
332,36
132,276
332,392
662,328
662,124
626,620
626,36
585,608
584,440
674,208
316,826
796,826
580,410
64,524
64,842
694,203
584,410
275,410
275,792
316,764
16,826
776,300
674,246
275,414
674,705
776,50
174,887
674,484
426,454
262,372
674,170
270,478
584,704
659,212
132,208
16,288
626,586
776,36
262,834
332,344
426,682
16,764
626,826
262,752
132,214
316,484
882,156
275,56
659,208
678,842
678,231
659,231
624,724
132,360
659,203
316,40
16,583
64,458
64,214
174,40
426,72
882,372
316,36
583,214
678,764
316,566
262,124
262,276
798,616
132,372
580,36
583,36
262,300
132,192
316,276
626,704
580,704
659,780
296,208
776,242
624,288
678,410
796,388
174,484
296,276
296,344
426,458
583,580
64,170
132,528
678,826
132,508
64,586
64,36
796,233
426,566
583,360
626,458
776,124
776,792
796,50
624,384
659,28
776,826
776,40
776,704
624,528
678,566
296,36
626,56
624,768
796,31
798,31
626,554
798,422
796,40
580,56
585,583
796,752
132,478
796,372
132,392
798,50
585,320
626,392
585,170
798,566
64,528
580,208
580,646
798,410
64,392
580,702
64,566
798,276
296,242
583,584
585,422
798,40
798,764
798,348
798,646
583,40
583,659
296,56
580,276
580,528
296,40
585,40
585,484
585,188
585,276
585,704
