i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
276,528,870324.0,2446.019,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
276,528,870899.0,15093.471,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
156,392,270900.0,11572296.265,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,271000.0,434299.322,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,847192.0,29541.56,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,847193.0,2977.904,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,847330.0,8169.996,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,854211.0,286.981,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,870322.0,3.033,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,870323.0,12.089,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,870324.0,3.133,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
156,392,870899.0,4188.747,11572296.265,12.089,286.981,434299.322,8169.996,3.133,4188.747,29541.56,2977.904,3.033
842,826,270900.0,1934.935,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,271000.0,35994.527,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,847192.0,4387.601,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,847193.0,2685.125,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,847330.0,11314.917,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,854211.0,1482.218,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,870322.0,295.062,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,870323.0,14718.925,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,870324.0,4174.937,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
842,826,870899.0,19335.097,1934.935,14718.925,1482.218,35994.527,11314.917,4174.937,19335.097,4387.601,2685.125,295.062
826,276,270900.0,14897823.617,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,271000.0,862331.569,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,847192.0,12139.781,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,847193.0,1320.565,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,847330.0,2434.018,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,854211.0,1882.028,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,870322.0,19415.28,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,870323.0,102024.862,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,870324.0,6760.902,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,276,870899.0,106718.988,14897823.617,102024.862,1882.028,862331.569,2434.018,6760.902,106718.988,12139.781,1320.565,19415.28
826,842,270900.0,18676510.402,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
826,842,271000.0,3859065.417,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
826,842,847192.0,2505.937,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
826,842,847193.0,1488.875,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
